num_vertices,rec_param,λ,alg_sol_cost,hurwicz_sol_cost,experiment_num,alg_eval_cost,hurwicz_eval_cost
101,0,0.1,20151.592949267993,20009.162883099314,1,19530.269266878095,19514.219045447993
101,0,0.1,20151.592949267993,20009.162883099314,2,19432.027933824298,19424.049986950777
101,0,0.1,20151.592949267993,20009.162883099314,3,19445.436910353987,19431.76216960368
101,0,0.1,20151.592949267993,20009.162883099314,4,19452.030197078733,19444.388100596712
101,0,0.1,20151.592949267993,20009.162883099314,5,19467.03623596151,19451.82088304551
101,0,0.1,20151.592949267993,20009.162883099314,6,19580.153527118116,19584.44521148278
101,0,0.1,20151.592949267993,20009.162883099314,7,19453.893058507143,19447.237691547998
101,0,0.1,20151.592949267993,20009.162883099314,8,19459.248581364274,19444.49573508032
101,0,0.1,20151.592949267993,20009.162883099314,9,19412.44930405265,19414.181103483228
101,0,0.1,20151.592949267993,20009.162883099314,10,19488.99771468171,19484.517610085495
101,0,0.25,20151.592949267993,19785.633306596977,1,19523.647191215627,19494.14017565948
101,0,0.25,20151.592949267993,19785.633306596977,2,19428.26689318625,19378.170980485742
101,0,0.25,20151.592949267993,19785.633306596977,3,19416.381892171994,19339.36192976986
101,0,0.25,20151.592949267993,19785.633306596977,4,19379.70114359701,19336.15324717247
101,0,0.25,20151.592949267993,19785.633306596977,5,19413.453540945535,19405.362638061826
101,0,0.25,20151.592949267993,19785.633306596977,6,19395.0345603041,19333.35555683455
101,0,0.25,20151.592949267993,19785.633306596977,7,19446.63965720457,19418.098644149613
101,0,0.25,20151.592949267993,19785.633306596977,8,19478.234956198114,19448.20717457319
101,0,0.25,20151.592949267993,19785.633306596977,9,19416.09696301224,19372.06021329201
101,0,0.25,20151.592949267993,19785.633306596977,10,19475.479895320423,19470.679380990365
101,0,0.5,20151.592949267993,19380.345060790958,1,19453.91157436276,19422.62149014997
101,0,0.5,20151.592949267993,19380.345060790958,2,19372.025599685814,19273.724756425163
101,0,0.5,20151.592949267993,19380.345060790958,3,19501.668018580756,19490.101740484315
101,0,0.5,20151.592949267993,19380.345060790958,4,19563.616119714323,19478.18107411575
101,0,0.5,20151.592949267993,19380.345060790958,5,19491.405792828285,19443.195997536975
101,0,0.5,20151.592949267993,19380.345060790958,6,19429.301288353516,19393.565326434236
101,0,0.5,20151.592949267993,19380.345060790958,7,19448.913457550352,19415.084808457163
101,0,0.5,20151.592949267993,19380.345060790958,8,19503.318072188482,19416.218857972177
101,0,0.5,20151.592949267993,19380.345060790958,9,19464.49603256587,19441.768282635185
101,0,0.5,20151.592949267993,19380.345060790958,10,19430.836136270074,19436.482242551014
101,41,0.1,19950.269966564607,19797.04296990815,1,19179.18079634063,19179.18079634063
101,41,0.1,19950.269966564607,19797.04296990815,2,19217.423972309203,19217.423972309203
101,41,0.1,19950.269966564607,19797.04296990815,3,19201.769888919524,19201.769888919524
101,41,0.1,19950.269966564607,19797.04296990815,4,19207.8709652436,19207.8709652436
101,41,0.1,19950.269966564607,19797.04296990815,5,19182.111236614186,19182.111236614182
101,41,0.1,19950.269966564607,19797.04296990815,6,19184.00736145192,19184.00736145192
101,41,0.1,19950.269966564607,19797.04296990815,7,19236.000813474566,19236.000813474566
101,41,0.1,19950.269966564607,19797.04296990815,8,19240.69135601405,19240.69135601405
