rec_param,minmax_sol_cost,alg_sol_cost,minmax_eval_cost,alg_eval_cost
16,815882.1661564315,795737.1334358111,772167.2960339267,752612.8960523779
32,815882.1661564315,792901.2699066396,771398.6760878891,749268.3386493087
82,815882.1661564315,792901.2699066396,773333.9392473435,750949.8268420838
