num_vertices,rec_param,alg_sol_cost,minmax_sol_cost,experiment_num,alg_eval_cost,minmax_eval_cost
285,0,801800.972422818,801800.9724228183,1,754011.6710469745,754011.6710469746
285,0,801800.972422818,801800.9724228183,2,758289.529919386,758289.529919386
285,0,801800.972422818,801800.9724228183,3,757273.411836606,757273.411836606
285,0,801800.972422818,801800.9724228183,4,754878.8246076345,754878.8246076342
285,0,801800.972422818,801800.9724228183,5,756854.1787086229,756854.1787086233
285,0,801800.972422818,801800.9724228183,6,755709.9798064624,755709.9798064623
285,0,801800.972422818,801800.9724228183,7,754188.6688940064,754188.6688940064
285,0,801800.972422818,801800.9724228183,8,754578.9978569159,754578.9978569159
285,0,801800.972422818,801800.9724228183,9,758302.0008471608,758302.0008471609
285,0,801800.972422818,801800.9724228183,10,758572.7737167359,758572.7737167359
285,16,800991.9518853872,801800.9724228183,1,756373.9176748694,757587.192243644
285,16,800991.9518853872,801800.9724228183,2,754013.4418185768,754583.2742758777
285,16,800991.9518853872,801800.9724228183,3,757853.5016503246,758427.8587037892
285,16,800991.9518853872,801800.9724228183,4,757476.6405789327,758187.4742238191
285,16,800991.9518853872,801800.9724228183,5,756375.8235286288,757087.4028804847
285,16,800991.9518853872,801800.9724228183,6,754042.9236717791,755227.9027757462
285,16,800991.9518853872,801800.9724228183,7,758084.3166762588,758791.7077773379
285,16,800991.9518853872,801800.9724228183,8,752532.3695174307,753177.3217355736
285,16,800991.9518853872,801800.9724228183,9,757754.4301786469,758467.6952528349
285,16,800991.9518853872,801800.9724228183,10,756994.8554410003,757614.248044349
285,32,800991.9518853872,801800.9724228183,1,756533.4002975376,757405.4600481696
285,32,800991.9518853872,801800.9724228183,2,761657.8799597587,762562.0045845791
285,32,800991.9518853872,801800.9724228183,3,756586.173270605,757420.8595254737
285,32,800991.9518853872,801800.9724228183,4,759780.6887470337,760279.9748161396
285,32,800991.9518853872,801800.9724228183,5,754321.054230639,755586.1850439586
285,32,800991.9518853872,801800.9724228183,6,754085.2539511728,754733.5107311042
285,32,800991.9518853872,801800.9724228183,7,754936.203119949,756002.0545104921
285,32,800991.9518853872,801800.9724228183,8,755035.7039259118,755565.6525711106
285,32,800991.9518853872,801800.9724228183,9,755017.9087785411,755828.5473613357
285,32,800991.9518853872,801800.9724228183,10,754937.0221736003,755729.5753600489
285,82,800991.9518853872,801800.9724228183,1,757623.2769748509,759414.3680939755
285,82,800991.9518853872,801800.9724228183,2,758652.8555703886,759822.8139942833
285,82,800991.9518853872,801800.9724228183,3,759414.9555087809,760254.9806910012
285,82,800991.9518853872,801800.9724228183,4,752702.6210449524,753303.0373592682
285,82,800991.9518853872,801800.9724228183,5,756107.8073743526,756626.8424246144
285,82,800991.9518853872,801800.9724228183,6,755635.9552258136,757129.8173911572
285,82,800991.9518853872,801800.9724228183,7,756572.3585924145,757004.300068498
285,82,800991.9518853872,801800.9724228183,8,758844.63937423,760340.876084731
285,82,800991.9518853872,801800.9724228183,9,756360.8390376224,756732.3252169497
285,82,800991.9518853872,801800.9724228183,10,755873.29970259,756447.4691938391
285,164,800991.9518853872,801800.9724228183,1,753306.1743710594,753975.538956586
285,164,800991.9518853872,801800.9724228183,2,758187.0335675555,759297.3589726468
285,164,800991.9518853872,801800.9724228183,3,756679.2240561128,757191.7024837254
285,164,800991.9518853872,801800.9724228183,4,755303.100989455,756307.3500109694
285,164,800991.9518853872,801800.9724228183,5,758361.6392347188,758887.4749408942
285,164,800991.9518853872,801800.9724228183,6,757112.0734724352,757864.412322066
285,164,800991.9518853872,801800.9724228183,7,756683.5204773828,757013.5204773827
285,164,800991.9518853872,801800.9724228183,8,757753.3170729962,759030.8742808904
285,164,800991.9518853872,801800.9724228183,9,754203.44128461,754834.2369513457
285,164,800991.9518853872,801800.9724228183,10,759343.1856456577,760675.3793730891
