num_vertices,rec_param,λ,alg_sol_cost,hurwicz_sol_cost,experiment_num,alg_eval_cost,hurwicz_eval_cost
285,0,0.25,801800.972422818,779256.1322314704,1,754011.6710469745,753929.8627086658
285,0,0.25,801800.972422818,779256.1322314704,2,758289.529919386,758158.6481968785
285,0,0.25,801800.972422818,779256.1322314704,3,757273.411836606,757067.713284612
285,0,0.25,801800.972422818,779256.1322314704,4,754878.8246076345,754632.2534149415
285,0,0.25,801800.972422818,779256.1322314704,5,756854.1787086229,756730.7033191711
285,0,0.75,801800.972422818,733961.1036991901,1,755709.9798064624,755389.3750431149
285,0,0.75,801800.972422818,733961.1036991901,2,754188.6688940064,754196.1958701253
285,0,0.75,801800.972422818,733961.1036991901,3,754578.9978569159,754045.6203509427
285,0,0.75,801800.972422818,733961.1036991901,4,758302.0008471608,758336.730276699
285,0,0.75,801800.972422818,733961.1036991901,5,758572.7737167359,758814.4716409298
285,16,0.25,800991.9518853872,778533.9639140405,1,756373.9176748694,756373.9176748694
285,16,0.25,800991.9518853872,778533.9639140405,2,754013.4418185768,754013.4418185768
285,16,0.25,800991.9518853872,778533.9639140405,3,757853.5016503246,757853.5016503246
285,16,0.25,800991.9518853872,778533.9639140405,4,757476.6405789327,757476.6405789327
285,16,0.25,800991.9518853872,778533.9639140405,5,756375.8235286288,756375.8235286288
285,16,0.75,800991.9518853872,733617.9879713468,1,754042.9236717791,754042.9236717792
285,16,0.75,800991.9518853872,733617.9879713468,2,758084.3166762588,758084.3166762588
285,16,0.75,800991.9518853872,733617.9879713468,3,752532.3695174307,752532.3695174305
285,16,0.75,800991.9518853872,733617.9879713468,4,757754.4301786469,757754.4301786469
285,16,0.75,800991.9518853872,733617.9879713468,5,756994.8554410003,756994.8554410003
