num_vertices,rec_param,λ,alg_sol_cost,hurwicz_sol_cost,experiment_num,alg_eval_cost,hurwicz_eval_cost
285,0,0.1,802526.4724018357,792802.8751805364,1,754089.8810703779,754011.6710469745
285,0,0.25,802526.4724018357,779256.1322314704,1,758458.8380435433,758158.6481968784
285,0,0.5,802526.4724018357,756641.5654989176,1,757159.7309459222,756961.8013380608
285,16,0.1,802526.4724018357,792008.7566968487,1,754303.8605286881,754303.8605286881
285,16,0.25,802526.4724018357,778533.9639140405,1,755973.1386728582,755973.1386728582
285,16,0.5,802526.4724018357,756075.9759426937,1,755267.6515268302,755267.6515268302
285,32,0.1,802526.4724018357,792008.7566968487,1,753691.3105246213,753691.3105246213
285,32,0.25,802526.4724018357,778533.9639140405,1,753748.198172152,753748.198172152
285,32,0.5,802526.4724018357,756075.9759426937,1,757854.646886551,757854.646886551
285,82,0.1,802526.4724018357,792008.7566968487,1,757863.1671353622,757863.1671353622
285,82,0.25,802526.4724018357,778533.9639140405,1,756373.9176748695,756373.9176748694
285,82,0.5,802526.4724018357,756075.9759426937,1,754013.4418185768,754013.4418185768
285,164,0.1,802526.4724018357,792008.7566968487,1,757853.5016503246,757853.5016503246
285,164,0.25,802526.4724018357,778533.9639140405,1,757476.6405789327,757476.6405789327
285,164,0.5,802526.4724018357,756075.9759426937,1,756375.8235286288,756375.8235286288
